,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
58,Riverdale (Bronx),40.890834493891305,-73.9125854610857,Hayden On Hudson Gym,40.889593,-73.917446,Gym
59,Riverdale (Bronx),40.890834493891305,-73.9125854610857,Whitehall Health Club,40.88677542573004,-73.91181905700154,Gym / Fitness Center
60,Riverdale (Bronx),40.890834493891305,-73.9125854610857,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station
61,Riverdale (Bronx),40.890834493891305,-73.9125854610857,Spuyten Duyvil Playground,40.8872269807248,-73.91605773455,Playground
62,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop
63,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Leche y Miel,40.883742,-73.90185699999999,Latin American Restaurant
64,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Kingsbridge Social Club,40.884581,-73.901999,Pizza Place
65,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place
66,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Carvel Ice Cream,40.883657145742866,-73.90165452034793,Ice Cream Shop
67,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
68,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Bronx Alehouse,40.8846317,-73.899705,Beer Bar
69,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant
70,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Enterprise Rent-A-Car,40.879866093214,-73.90384738148896,Rental Car Location
71,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Mon Amour Coffee & Wine,40.88500863418534,-73.90033222698838,Coffee Shop
72,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Smashburger,40.8842208517097,-73.90033254824955,Burger Joint
73,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Estrellita Poblana V,40.879687039717524,-73.906256832975,Mexican Restaurant
74,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Mattress Firm,40.88164138793945,-73.90306091308594,Mattress Store
75,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Picante Picante Mexican Restaurant,40.878252,-73.902936,Mexican Restaurant
76,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,BJ's  Wholesale Club,40.88410355664641,-73.90026731218994,Warehouse Store
77,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,GNC,40.880013,-73.90440799999999,Supplement Shop
78,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Loeser's Delicatessen,40.879111,-73.905693,Sandwich Place
79,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Sugarboy Bakery Cafe,40.877947999999996,-73.90286,Bakery
80,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store
81,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Subway,40.884486380794506,-73.9002752244727,Sandwich Place
82,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Subway,40.878464979323944,-73.9055176422437,Sandwich Place
83,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,FedEx Office Print & Ship Center,40.882667,-73.901487,Shipping Store
84,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Papa John's Pizza,40.87846686452555,-73.90299731682387,Pizza Place
85,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Q'Kachapa,40.880005888670006,-73.9041570896363,Spanish Restaurant
86,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Buffalo Wild Wings,40.88446010603608,-73.90042394399643,Wings Joint
87,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Chipotle Mexican Grill,40.88456619551229,-73.9004737612446,Mexican Restaurant
88,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Tilila,40.88387242577101,-73.89820853750416,Bar
89,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Louie's Dale Diner,40.87870891291501,-73.90431181834758,Burger Joint
90,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,MyUnique,40.88196572342435,-73.90358396335206,Thrift / Vintage Store
91,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Chase Bank,40.87918782612045,-73.90491556516147,Bank
92,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,The Local,40.87855275865213,-73.90346176628925,Bar
93,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Dunkin',40.87930809459452,-73.90506640147964,Donut Shop
94,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,ALDI,40.8778363,-73.9046557,Supermarket
95,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,El Economico Restaurant,40.87933018698782,-73.90459710835415,Spanish Restaurant
96,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
97,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Dunkin',40.87929565446632,-73.90513513194202,Café
98,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Dunkin',40.88444151875646,-73.90018467940683,Donut Shop
99,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Cold Cut City,40.8791735908651,-73.90575340287347,Sandwich Place
100,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Domino's Pizza,40.8842,-73.9024,Pizza Place
101,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,IHOP,40.880422088659074,-73.90401864379297,Breakfast Spot
102,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Gold Mine Cafe,40.87891576866267,-73.90469763627074,Café
103,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,The Bridge Tavern,40.883495380089926,-73.9017625732257,Sports Bar
104,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Riverdale Diner,40.88518285486937,-73.89948352054364,Diner
105,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Petco,40.88412259663246,-73.89933923911794,Pet Store
106,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Popeyes Louisiana Kitchen,40.87933422856829,-73.90495492507628,Fried Chicken Joint
107,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,KFC,40.8801638310206,-73.90425289392198,Fried Chicken Joint
108,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Mr. McGoo's,40.87941944187052,-73.90424277141844,Bar
109,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Walgreens,40.8785384,-73.9047797,Pharmacy
110,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Rite Aid,40.885481,-73.900814,Pharmacy
111,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Hola España,40.87915969295343,-73.90455296034935,Latin American Restaurant
112,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Stop & Shop,40.8820633,-73.9020583,Supermarket
113,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Silhouette Restaurant & Lounge,40.88070643866,-73.90268654351613,Latin American Restaurant
114,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Foodtown,40.878524,-73.905296,Grocery Store
115,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,McDonald's,40.8840672,-73.9017116,Fast Food Restaurant
116,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Tony & Cyndi's Pizzeria & Restaurants,40.88356615627457,-73.90180851709593,Pizza Place
117,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Stella D'oro Biscuit Co,40.883201599121094,-73.90043640136719,Bakery
118,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Leila's Hand Dipped Chocolate,40.879540999999996,-73.905327,Candy Store
119,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Broadway Pizza & Pasta,40.87882247136464,-73.90449402840686,Pizza Place
120,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Deegan Motel,40.882749,-73.89886,Hotel
121,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Wendy's,40.8846974,-73.9012174,Fast Food Restaurant
122,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Oni Beauty Salon,40.880444,-73.90731600000001,Cosmetics Shop
123,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Kingsbridge-Riverdale Farmers' Market,40.879973,-73.90729499999999,Vegetarian / Vegan Restaurant
124,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,S & S Cheesecake,40.88479273266669,-73.89986081581755,Bakery
125,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Illumination Jewelz,40.8808708190918,-73.89778900146484,Jewelry Store
126,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Acapella Gourmet Pizza & Restaurant,40.883503999999995,-73.897901,Pizza Place
127,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Bob’s Discount Furniture and Mattress Store,40.877704,-73.9047193,Furniture / Home Store
128,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Van Cortlandt Deli,40.88517705947143,-73.89952611405425,Deli / Bodega
129,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,High Ridge News and Cards,40.88517787681991,-73.89945671267607,Deli / Bodega
130,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,The Putnam Trail,40.88518925064586,-73.89944963459462,Trail
131,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Van Cortlandt Southwest Playround,40.88519273848604,-73.89943709754921,Playground
132,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,Fort Independence Park,40.88152213955193,-73.8969970359663,Park
133,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,MTA - Bx7 Bus,40.88103175634483,-73.90867529414568,Bus Line
134,Kingsbridge (Bronx),40.88168737120521,-73.90281798724604,MTA MaBSTOA Bus Bx3/Bx10 at Bailey Ave & W. 238 Street,40.88426170543608,-73.89797886334658,Bus Stop
135,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
136,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio
137,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
138,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy
139,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Subway,40.8746665302951,-73.9095858429637,Sandwich Place
140,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop
141,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Baskin-Robbins,40.87713228361307,-73.90667840652725,Ice Cream Shop
142,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
143,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,The Children's Place,40.873671591133125,-73.90815619608166,Kids Store
144,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium
145,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store
146,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Subway,40.878464979323944,-73.9055176422437,Sandwich Place
147,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
148,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,TD Bank,40.8794958,-73.9092856,Bank
149,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
150,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store
151,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,GameStop,40.874266802124836,-73.90934218062803,Video Game Store
152,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Blink Fitness,40.877271495944626,-73.90559491338075,Gym
153,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
154,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Starbucks,40.873234,-73.90873,Coffee Shop
155,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Terrace View Delicatessen,40.875995,-73.913151,Deli / Bodega
156,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Astral Fitness & Wellness Center,40.87670526507199,-73.90637207670373,Gym
157,Marble Hill (Manhattan),40.87655077879964,-73.91065965862981,Grill 26 at TCR,40.878802209517126,-73.9156723022461,American Restaurant
158,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Katonah Pizza and Pasta,40.89878411126604,-73.86745706580207,Pizza Place
159,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Patrizia's Of Woodlawn,40.900638399332884,-73.86772361835486,Italian Restaurant
160,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Curry Spot,40.897624941880906,-73.86714729157393,Indian Restaurant
161,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Rambling House,40.898439240536966,-73.86719657644849,Pub
162,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,The Chipper Truck,40.899619499543256,-73.87147353617637,Food Truck
163,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,John Muir Nature Trail,40.899504,-73.873027,Trail
164,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Enterprise Rent-A-Car,40.89609114069422,-73.8653639853328,Rental Car Location
165,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,CTown Supermarkets,40.897495761710346,-73.86736015413362,Grocery Store
166,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Dunkin',40.896036409903786,-73.86357007637196,Donut Shop
167,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Sean's Quality Deli,40.897669,-73.86744499999999,Deli / Bodega
168,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Prime Cuts,40.89985495450702,-73.86761273659502,Food & Drink Shop
169,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,MMJ Wines & Spirits,40.897045,-73.86737,Liquor Store
170,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Ivy's Nails,40.900013,-73.867388,Cosmetics Shop
171,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Celtic House,40.897876000000004,-73.86750699999999,Pub
172,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Behan's Pub,40.89858450390552,-73.86750725480708,Bar
173,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Katonah Family Deli Grocery,40.898339342064965,-73.86720111149035,Convenience Store
174,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,The Kitchen,40.899733,-73.867408,American Restaurant
175,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,John Mulligans Fireside Pub,40.89777632017523,-73.86716049035307,Pub
176,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Tri-Edys Deli,40.900073,-73.867977,Deli / Bodega
177,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,The Hideout Tavern,40.89655391431185,-73.87066384993089,Pub
178,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Metro North - Woodlawn Train Station,40.895590912855496,-73.8628137399376,Train Station
179,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Craigs Hot Dogs,40.8970405788897,-73.86293433653844,Food Truck
180,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,The Corner Scone,40.898598,-73.862579,Deli / Bodega
181,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Muskrat Cove,40.89661462254967,-73.86244620698331,Park
182,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Woodlawn Playground,40.899877093515826,-73.87224302213575,Playground
183,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Bella Napoli 2,40.89672979186445,-73.86231986737155,Pizza Place
184,Woodlawn (Bronx),40.89827261213805,-73.86731496814176,Stillwell Park,40.90210471148085,-73.8652084300118,Playground
185,Norwood (Bronx),40.87722415599446,-73.8793907395681,Nicky's Coffee Shop,40.874932786273384,-73.87940404957489,Coffee Shop
186,Norwood (Bronx),40.87722415599446,-73.8793907395681,Sal's Pizzeria,40.875269350530566,-73.87956260705728,Pizza Place
187,Norwood (Bronx),40.87722415599446,-73.8793907395681,Marconi Pizzeria,40.880766406357665,-73.87780801932352,Pizza Place
188,Norwood (Bronx),40.87722415599446,-73.8793907395681,Capital One Bank,40.8747272,-73.8796602,Bank
189,Norwood (Bronx),40.87722415599446,-73.8793907395681,Williamsbridge Reservoir Oval,40.87703278924706,-73.87733074138687,Park
190,Norwood (Bronx),40.87722415599446,-73.8793907395681,Queen of Tacos,40.8802,-73.883434,Mexican Restaurant
191,Norwood (Bronx),40.87722415599446,-73.8793907395681,T-Mobile,40.872766,-73.878644,Mobile Phone Shop
192,Norwood (Bronx),40.87722415599446,-73.8793907395681,Chase Bank,40.875331,-73.8798315,Bank
193,Norwood (Bronx),40.87722415599446,-73.8793907395681,SUBWAY,40.87281809506911,-73.87831163680261,Sandwich Place
194,Norwood (Bronx),40.87722415599446,-73.8793907395681,CVS pharmacy,40.87449900511392,-73.87951536062447,Pharmacy
195,Norwood (Bronx),40.87722415599446,-73.8793907395681,CVS pharmacy,40.87903936605434,-73.87422202277044,Pharmacy
196,Norwood (Bronx),40.87722415599446,-73.8793907395681,Mosholu Park,40.87823436524028,-73.8831639289856,Park
197,Norwood (Bronx),40.87722415599446,-73.8793907395681,Foodtown,40.873496,-73.878825,Grocery Store
198,Norwood (Bronx),40.87722415599446,-73.8793907395681,El Presidente II,40.880516213384304,-73.88323277718456,Spanish Restaurant
199,Norwood (Bronx),40.87722415599446,-73.8793907395681,Williamsbridge Oval Park Playground,40.87804507571685,-73.87698620474752,Park
200,Norwood (Bronx),40.87722415599446,-73.8793907395681,Panda House,40.875102000000005,-73.87980300000001,Chinese Restaurant
201,Norwood (Bronx),40.87722415599446,-73.8793907395681,Alex's Café-sito,40.879776555430134,-73.87975396530413,Food Truck
202,Norwood (Bronx),40.87722415599446,-73.8793907395681,McDonald's,40.8729072,-73.8787104,Fast Food Restaurant
203,Norwood (Bronx),40.87722415599446,-73.8793907395681,7's fish market,40.87413787841797,-73.8796615600586,Fish & Chips Shop
204,Norwood (Bronx),40.87722415599446,-73.8793907395681,MTA MaBSTOA Bus Bx10 / Bx16 / Bx28 / Bx30 / Bx34 / Bx38 At Bainbridge Ave & Gun Hill Road,40.8803422650883,-73.87868904,Bus Station
205,Norwood (Bronx),40.87722415599446,-73.8793907395681,Ming Liang Kitchen,40.879876,-73.87662900000001,Chinese Restaurant
206,Norwood (Bronx),40.87722415599446,-73.8793907395681,Williamsbridge Reservoir Oval Park Track,40.87974113853551,-73.87593536425706,Athletics & Sports
207,Norwood (Bronx),40.87722415599446,-73.8793907395681,Nicky's Pizza & Ristorante,40.87337458632297,-73.88050846237203,Pizza Place
208,Norwood (Bronx),40.87722415599446,-73.8793907395681,East 205th St,40.87388231771641,-73.87641197566941,Park
209,Norwood (Bronx),40.87722415599446,-73.8793907395681,1 Stop Grocery & Candy Store,40.879907,-73.87530699999999,Convenience Store
210,Norwood (Bronx),40.87722415599446,-73.8793907395681,Pine Deli,40.88034,-73.88314247131348,American Restaurant
211,Norwood (Bronx),40.87722415599446,-73.8793907395681,Joseph's Pizza,40.87920220241614,-73.87439641829206,Pizza Place
